StoreNum,Open Date,State Provinc,Market,Region,Locality Code,Climate Code,Pharmacy_IND,Pickup_IND,SFS_IND,COMP_IND,College_STORE_IND,INCOME_CD,ETHNICITY_CD
265,2017/08/30,1,99,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL
266,2017/08/31,46,98,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
267,2017/08/31,46,98,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
268,2017/08/31,46,98,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
269,2017/08/31,46,98,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
270,2017/06/22,6,95,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
271,2018/01/08,46,99,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL
272,2018/01/08,46,52,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL
273,2018/02/12,64,95,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
274,2018/02/12,64,95,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
275,2018/02/12,6,95,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
276,2018/02/12,46,95,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
277,2018/02/26,46,99,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL
278,2018/06/14,21,98,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
279,2018/07/17,30,99,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL
280,2018/08/26,1,99,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL
281,2018/01/08,46,52,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL
282,2019/04/09,46,95,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
283,2000/05/01,30,95,499,2,NULL,N,N,N,-,Y,3,2
284,1980/02/01,41,95,NULL,2,1,N,N,N,Y,Y,3,2
