Week,StoreNum,Category,Sales,Units , profit,week no,Year
201749,57,36,138484.61,1103,73587.0515,49,2017
201749,57,8,276272.55,9125,78682.6854,49,2017
201749,57,50,0.02,7,-43.64,49,2017
201749,57,35,3019.33,192,392.5129,49,2017
201749,57,3,223486.08,11559,78732.6837,49,2017
201749,57,2,1356314.46,31813,435020.9407,49,2017
201749,57,4,1512223.8,31824,561286.9296,49,2017
201749,57,1,2441728.62,48682,590176.6616,49,2017
201749,57,5,277154.08,12668,70345.5142,49,2017
201750,57,35,1408.89,99,183.1557,50,2017
201750,57,4,1339610.97,30133,480665.7616,50,2017
201750,57,5,198392.52,9049,46840.2463,50,2017
201750,57,1,1620790.95,28477,492856.1014,50,2017
201750,57,2,791879.91,17720,253477.7728,50,2017
201750,57,8,198652.78,6375,52369.1019,50,2017
201750,57,50,0,2,-13.2,50,2017
201750,57,36,114957.26,902,56455.2053,50,2017
201750,57,3,210918.12,12019,79047.1491,50,2017
201750,57,7,1391469.78,22276,582395.362,50,2017
201751,57,5,185686.16,8350,45718.897,51,2017
201751,57,4,1613203.7,34098,394415.6867,51,2017
201751,57,35,420.56,30,54.6728,51,2017
201751,57,3,223790.22,11891,83995.9247,51,2017
201751,57,2,864953.44,19943,244735.2438,51,2017
201751,57,7,1053686.69,19363,416533.9194,51,2017
201751,57,36,89981.96,713,44504.9493,51,2017
201751,57,8,195451.04,5527,79948.7507,51,2017
201751,57,50,0,1,-6.6,51,2017
201751,57,1,1505260.09,24722,537893.1159,51,2017
201752,57,7,1338907.02,22839,495366.9203,52,2017
201752,57,1,1432800.17,21346,530012.8925,52,2017
201752,57,50,0,4,-26.4,52,2017
201752,57,8,212645.74,6604,80320.6058,52,2017
201752,57,36,99743.03,791,46764.7598,52,2017
201752,57,2,716733.28,14697,236427.3001,52,2017
201752,57,5,151362.46,6705,40572.5674,52,2017
201752,57,3,192126.68,8634,73401.0636,52,2017
201752,57,35,463.11,23,60.2043,52,2017
201752,57,4,1190102.45,23953,376899.9554,52,2017
201753,57,3,218141.24,10404,81782.9769,53,2017
201753,57,1,1691419.77,25584,532208.5816,53,2017
201753,57,5,166807.14,6132,54609.8,53,2017
201753,57,2,741371.19,14048,263566.2774,53,2017
201753,57,7,1157074.66,19431,450006.4597,53,2017
201753,57,35,1371.32,84,178.2716,53,2017
201753,57,36,139687.59,1307,65415,53,2017
201753,57,8,291171.32,8755,128755.5099,53,2017
201753,57,4,1890256.87,37274,222549.3735,53,2017
201801,57,7,1010729.01,15405,400815.3359,1,2018
201801,57,35,1267.75,59,164.8075,1,2018
201801,57,8,400069.28,12517,188725.7877,1,2018
